lemma,gen,phon,freq_lex_books,freq_lex_subtitles,freq_frcow,last_process_broad,last_process_narrow,prefix,compound,conversion,suffix,suffix_broad,sfx_base,sfx_base_pos,autonomous_base,base_stem_phon,sfx_allomorph,der_stem_phon,edit_distance,pattern,pattern_tf,pattern_rel_tf,base_der_sim,offset_sim
commanditaire,m,kO.mɑ̃.di.tɛʁ,1.08,1.02,18784,suffix,suffix,0,0,A,aire,aire,commandite,N,TRUE,kOmɑ̃dit,ɛʁ,kOmɑ̃dit,0,_~_ɛʁ,10,0.303030303030303,0.426257610321045,0.395241430249867
commerçante,f,kO.mɛʁ.sɑ̃t,16.28,4.34,1376,suffix,suffix,0,0,0,ante,ant,commercer,V,TRUE,kOmɛʁs,ɑ̃t,kOmɛʁs,0,_~_ɑ̃t,5,0.714285714285714,0.282812029123306,0.41236943641747
commercial,m,kO.mɛʁ.sjal,0.54,0.63,57379,conversion,conversion-A,0,0,A,al,al,commerce,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
commis,m,kO.mi,10,2.99,9053,conversion,conversion-V12,0,0,V12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
commode,f,kO.mɔd,12.09,3.36,5743,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
communal,m,kO.my.nal,9.39,0.14,3383,conversion,conversion-A,0,0,A,al,al,commune,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
communiste,f,kO.my.nist,26.35,10.93,59118,suffix,suffix,0,0,A,iste,iste,commun,A,TRUE,kOmyn,ist,kOmyn,0,_~_ist,53,0.56989247311828,0.054353576153517,0.357533933318557
communiste,m,kO.my.nist,26.35,10.93,59118,suffix,suffix,0,0,A,iste,iste,commun,A,TRUE,kOmyn,ist,kOmyn,0,_~_ist,53,0.56989247311828,0.054353576153517,0.357533933318557
compact,m,kɔ̃.pakt,0.27,0.15,1,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
compagnon,m,kɔ̃.pa.ɲɔ̃,80,22.2,155012,suffix,suffix,0,0,V0,on,on,compagne,N,TRUE,kɔ̃paɲ,ɔ̃,kɔ̃paɲ,0,_~_ɔ̃,39,0.609375,0.813084244728088,-0.056740421087608
compas,m,kɔ̃.pa,2.84,1.5,9674,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
compatibilité,f,kɔ̃.pa.ti.bi.li.te,0,0.4,40279,suffix,suffix,0,0,0,ité,ité,compatible,A,TRUE,kɔ̃patibl,ite,kɔ̃patibil,1,_~_iite,8,0.145454545454545,0.69765830039978,0.597792428126999
compatriote,f,kɔ̃.pa.tʁi.jɔt,9.05,4.76,48195,polylexical,neoclassical_compound,0,neoclassical,0,ote,ote,patrie,N,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
compensation,f,kɔ̃.pɑ̃.sa.sjɔ̃,5.81,3.33,79523,suffix,suffix,0,0,0,ion,ion,compenser,V,TRUE,kɔ̃pɑ̃s,asjɔ̃,kɔ̃pɑ̃s,0,_~_asjɔ̃,83,0.597122302158273,0.462040722370148,0.591958300741296
compétitrice,f,kɔ̃.pE.ti.tʁis,0.2,0.34,630,suffix,suffix,0,0,0,rice,eurM2,compétit-,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
complication,f,kɔ̃.pli.ka.sjɔ̃,8.38,4.59,55193,suffix,suffix,0,0,0,ion,ion,compliquer,V,TRUE,kɔ̃plik,asjɔ̃,kɔ̃plik,0,_~_asjɔ̃,83,0.597122302158273,0.203772932291031,0.515551454534356
composée,f,kɔ̃.pO.ze,1.08,0.7,3757,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
compote,f,kɔ̃.pɔt,3.31,3.01,10371,simplex,native_simplex,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
comprimé,m,kɔ̃.pʁi.me,3.99,4.27,19193,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
comptabilité,f,kɔ̃.ta.bi.li.te,4.53,4.37,88789,suffix,suffix,0,0,0,ité,ité,comptable,A,TRUE,kɔ̃tabl,ite,kɔ̃tabil,1,_~_iite,8,0.145454545454545,0.784563660621643,0.265422836843364
comptant,m,kɔ̃.tɑ̃,0.34,1.25,6288,suffix,suffix,0,0,A,ant,ant,compter,V,TRUE,kɔ̃t,ɑ̃,kɔ̃t,0,_~_ɑ̃,38,1,0.284092307090759,0.311676683669334
compte,m,kɔ̃t,208.38,160.95,1868676,simplex,native_simplex,0,0,V0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
compte-fils,m,kɔ̃.tfil,0.34,0,47,polylexical,native_compound,0,VERB-NOUN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
compte-gouttes,m,kɔ̃t.gut,1.42,0.45,1930,polylexical,native_compound,0,VERB-NOUN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
compte-tours,m,kɔ̃t.tuʁ,0.41,0.04,1258,polylexical,native_compound,0,VERB-NOUN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
comptoir,m,kɔ̃.twaʁ,41.55,8.66,44662,suffix,suffix,0,0,0,oir,oir,compter,V,TRUE,kɔ̃t,waʁ,kɔ̃t,0,_~_waʁ,16,0.888888888888889,-0.079609259963036,0.367535312372359
computer,m,kɔ̃.pju.tœʁ,0.14,0.17,7298,simplex,borrowing,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
concentration,f,kɔ̃.sɑ̃.tʁa.sjɔ̃,10.41,8.54,176556,suffix,suffix,0,0,0,ion,ion,concentrer,V,TRUE,kɔ̃sɑ̃tʁ,asjɔ̃,kɔ̃sɑ̃tʁ,0,_~_asjɔ̃,83,0.597122302158273,0.186426043510437,0.65774996576443
concentré,m,kɔ̃.sɑ̃.tʁe,1.42,0.57,0,conversion,conversion-A,0,0,A,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
